tablica;algorytm;g³êbokoœæ;d³ugoœæ;odwiedzone;przetworzone;maksymalna g³êbokoœæ;czas (s)
answersBFS;RDUL;1;0;0;0;0;0
answersBFS;RDLU;1;0;0;0;0;0
answersBFS;DRUL;1;0;0;0;0;0
answersBFS;DRLU;1;0;0;0;0;0
answersBFS;LUDR;1;0;0;0;0;0
answersBFS;LURD;1;0;0;0;0;0
answersBFS;ULDR;1;0;0;0;0;0
answersBFS;ULRD;1;0;0;0;0;0
answersBFS;RDUL;2;0;0;0;0;0
answersBFS;RDLU;2;0;0;0;0;0
answersBFS;DRUL;2;0;0;0;0;0
answersBFS;DRLU;2;0;0;0;0;0
answersBFS;LUDR;2;0;0;0;0;0
answersBFS;LURD;2;0;0;0;0;0
answersBFS;ULDR;2;0;0;0;0;0
answersBFS;ULRD;2;0;0;0;0;0
answersBFS;RDUL;3;0;0;0;0;0
answersBFS;RDLU;3;0;0;0;0;0
answersBFS;DRUL;3;0;0;0;0;0
answersBFS;DRLU;3;0;0;0;0;0
answersBFS;LUDR;3;0;0;0;0;0
answersBFS;LURD;3;0;0;0;0;0
answersBFS;ULDR;3;0;0;0;0;0
answersBFS;ULRD;3;0;0;0;0;0
answersBFS;RDUL;4;0;0;0;0;0
answersBFS;RDLU;4;0;0;0;0;0
answersBFS;DRUL;4;0;0;0;0;0
answersBFS;DRLU;4;0;0;0;0;0
answersBFS;LUDR;4;0;0;0;0;0
answersBFS;LURD;4;0;0;0;0;0
answersBFS;ULDR;4;0;0;0;0;0
answersBFS;ULRD;4;0;0;0;0;0
answersBFS;RDUL;5;0;0;0;0;0
answersBFS;RDLU;5;0;0;0;0;0
answersBFS;DRUL;5;0;0;0;0;0
answersBFS;DRLU;5;0;0;0;0;0
answersBFS;LUDR;5;0;0;0;0;0
answersBFS;LURD;5;0;0;0;0;0
answersBFS;ULDR;5;0;0;0;0;0
answersBFS;ULRD;5;0;0;0;0;0
answersBFS;RDUL;6;0;0;0;0;0
answersBFS;RDLU;6;0;0;0;0;0
answersBFS;DRUL;6;0;0;0;0;0
answersBFS;DRLU;6;0;0;0;0;0
answersBFS;LUDR;6;0;0;0;0;0
answersBFS;LURD;6;0;0;0;0;0
answersBFS;ULDR;6;0;0;0;0;0
answersBFS;ULRD;6;0;0;0;0;0
answersBFS;RDUL;7;0;0;0;0;0
answersBFS;RDLU;7;0;0;0;0;0
answersBFS;DRUL;7;0;0;0;0;0
answersBFS;DRLU;7;0;0;0;0;0
answersBFS;LUDR;7;0;0;0;0;0
answersBFS;LURD;7;0;0;0;0;0
answersBFS;ULDR;7;0;0;0;0;0
answersBFS;ULRD;7;0;0;0;0;0
tablica;algorytm;g³êbokoœæ;d³ugoœæ;odwiedzone;przetworzone;maksymalna g³êbokoœæ;czas (s)
answersDFS;RDUL;1;0;0;0;0;0
answersDFS;RDLU;1;0;0;0;0;0
answersDFS;DRUL;1;0;0;0;0;0
answersDFS;DRLU;1;0;0;0;0;0
answersDFS;LUDR;1;0;0;0;0;0
answersDFS;LURD;1;0;0;0;0;0
answersDFS;ULDR;1;0;0;0;0;0
answersDFS;ULRD;1;0;0;0;0;0
answersDFS;RDUL;2;0;0;0;0;0
answersDFS;RDLU;2;0;0;0;0;0
